0.100000 0.000000 4.763000
0.200000 0.000000 9.449000
0.300000 0.000000 18.848000
0.350000 0.000000 27.614000
0.400000 0.000000 41.851000
0.420000 0.000000 51.234000
0.450000 0.000000 71.667000
0.460000 0.000000 79.629000
0.470000 0.000000 93.124000
0.480000 0.000000 103.433000
0.490000 0.001000 116.593000
0.500000 0.000000 136.530000
0.510000 0.004000 161.602000
0.520000 0.010000 191.704000
0.530000 0.010000 226.085000
0.540000 0.026000 269.211000
0.550000 0.077000 323.771000
0.560000 0.122000 392.493000
0.570000 0.196000 476.642000
0.580000 0.348000 589.591000
0.590000 0.458000 708.821000
0.600000 0.579000 825.097000
0.610000 0.752000 986.816000
0.620000 0.825000 1105.037000
0.630000 0.918000 1234.514000
0.640000 0.964000 1343.841000
0.650000 0.987000 1433.003000
0.700000 1.000000 1690.431000
0.800000 1.000000 1991.398000
0.900000 1.000000 2240.280000
